pin_id,cell_type,direction,is_clk,fanout,slack_min,slew_r,slew_f
_138_/Y,sky130_fd_sc_hd__nand2b_1,output,0,116,2.585758,0.284655,0.159073
_139_/A1,sky130_fd_sc_hd__o311ai_2,input,0,0,3.710190,0.532351,0.108030
_139_/A2,sky130_fd_sc_hd__o311ai_2,input,0,0,3.725204,0.671713,0.122645
_139_/A3,sky130_fd_sc_hd__o311ai_2,input,0,0,4.001666,0.805997,0.205654
_139_/B1,sky130_fd_sc_hd__o311ai_2,input,0,0,3.275196,0.266874,0.151637
_139_/C1,sky130_fd_sc_hd__o311ai_2,input,0,0,3.029253,0.284655,0.159073
_139_/Y,sky130_fd_sc_hd__o311ai_2,output,0,108,3.029253,0.940350,0.186970
_140_/A,sky130_fd_sc_hd__nor2b_1,input,0,0,3.592794,0.364782,0.323835
_140_/B_N,sky130_fd_sc_hd__nor2b_1,input,0,0,3.629999,0.283174,0.288133
_140_/Y,sky130_fd_sc_hd__nor2b_1,output,0,102,3.592793,0.436004,0.095836
_141_/A1,sky130_fd_sc_hd__a31oi_1,input,0,0,3.648974,1.012496,0.174575
_141_/A2,sky130_fd_sc_hd__a31oi_1,input,0,0,3.702784,0.368478,0.194076
_141_/A3,sky130_fd_sc_hd__a31oi_1,input,0,0,3.680655,0.940350,0.186970
_141_/B1,sky130_fd_sc_hd__a31oi_1,input,0,0,3.592793,0.436004,0.095836
_141_/Y,sky130_fd_sc_hd__a31oi_1,output,0,11,3.592793,0.585656,0.231379
_142_/A,sky130_fd_sc_hd__inv_1,input,0,0,1.911122,0.129074,0.203730
_142_/Y,sky130_fd_sc_hd__inv_1,output,0,111,1.911122,0.238247,0.082488
_143_/A,sky130_fd_sc_hd__nor2_1,input,0,0,3.089940,0.238247,0.082488
_143_/B,sky130_fd_sc_hd__nor2_1,input,0,0,3.129640,0.400544,0.335882
_143_/Y,sky130_fd_sc_hd__nor2_1,output,0,97,3.089940,0.401088,0.087154
_144_/A,sky130_fd_sc_hd__nand2_1,input,0,0,2.863027,0.238247,0.082488
_144_/B,sky130_fd_sc_hd__nand2_1,input,0,0,3.368140,0.400544,0.335882
